id,revenue,production_companies
275696,0,New Artists Alliance
326247,0,E3W Productions
318973,0,Sundial Pictures
273899,187674,Centropolis Entertainment
321039,0,PCB Entertainment
345468,0,BoulderLight Pictures
269033,0,Island 23 Films
323435,0,Bow and Arrow Entertainment
318225,0,Beachside Films
291290,0,Twisted Pictures
352552,0,Matador Films
343981,0,Salon Pictures
319067,0,Motto Pictures
332177,0,WWE Studios
254800,0,FJ Productions
291151,0,Sobras International Pictures
348296,0,Tiger Aspect Productions
357974,0,Tiberius Film
347258,0,Instinct Entertainment
312793,0,Splendid Film
340361,0,Gaumont
306943,0,BCDF Pictures
324325,0,Small Package Films
321640,0,Blumhouse Productions
309919,0,Myriad Pictures
303867,0,Bitter Films
325365,0,Rakontur
330916,0,Whitewater Films
273599,0,Seven8 Media
333620,0,Johnson Production Group
253303,13684,Sob Noisse Movies
356846,0,BBC Films
331501,0,Screen Yorkshire
361043,0,Ruthless Pictures
329289,0,Good Universe
339928,732655,Escapology
367735,0,3 Arts Entertainment
157336,621752480,Paramount Pictures
118340,773312399,Marvel Studios
100402,714766572,Marvel Studios
245891,78739897,Thunder Road Pictures
131631,752100229,Lionsgate
122917,955119788,WingNut Films
177572,652105443,Walt Disney Pictures
205596,233555708,Black Bear Pictures
198663,348319861,Ingenious Media
194662,103215094,Worldview Entertainment
210577,369330363,Twentieth Century Fox Film Corporation
228150,211817906,Columbia Pictures
181533,349424282,Twentieth Century Fox Film Corporation
157350,288747895,Summit Entertainment
127585,746000000,Twentieth Century Fox Film Corporation
240832,463360063,Universal Pictures
98566,477200000,Paramount Pictures
225886,126069509,Escape Artists
242582,38697217,Bold Films
91314,245500000,Paramount Pictures
120467,174600318,Fox Searchlight Pictures
244786,13993093,Bold Films
119450,708200000,Ingenious Media
156022,192330738,Columbia Pictures
227159,106645357,New Line Cinema
102382,705717432,Columbia Pictures
137113,370541256,Village Roadshow Pictures
228967,11305175,Columbia TriStar
190859,542307423,Village Roadshow Pictures
147441,268031828,Scott Free Productions
124905,529076069,Toho Company
102651,758410378,Walt Disney Pictures
254904,32556119,Irish Dreamtime
242512,102529779,Universal Pictures
82702,609123048,DreamWorks Animation
270303,13500000,Northern Lights Films
138103,206172544,Davis-Films
137106,469160692,Village Roadshow Pictures
72784,0,Dark Castle Entertainment
68737,114178613,Legendary Pictures
266856,121201940,Working Title Films
193893,136621271,Twentieth Century Fox Film Corporation
49017,215529201,Universal Pictures
270946,373552094,DreamWorks Animation
224141,212902372,Walt Disney Pictures
53182,337580051,Legendary Pictures
227156,66980456,The Weinstein Company
187017,188441614,Columbia Pictures
169917,53181600,Double Feature Films
116149,259207227,The Weinstein Company
284276,2360281,Echo Films
212778,45967935,Open Road Films
238636,108782847,Universal Pictures
218043,19682924,Stoney Lake Entertainment
85350,44349000,Detour Filmproduction
241239,12007070,Participant Media
184315,243400000,Paramount Pictures
86834,362637473,Paramount Pictures
205587,83719388,Village Roadshow Pictures
256092,0,Odyssey Media
232672,123494610,Happy Madison Productions
195589,268157400,Universal Pictures
249164,78874843,New Line Cinema
243683,86165646,Summit Entertainment
200727,4439431,Constantin Film
222935,305151265,Fox 2000 Pictures
244267,336472,Verisimilitude
168530,153997819,Universal Pictures
244761,1075178,Ego Film Arts
171274,11110975,Ghoulardi Film Company
137094,50549107,Paramount Pictures
225574,222809600,StudioCanal
206487,3000000,Screen Australia
262543,0,Green Moon Productions
321068,0,Arrowstorm Entertainment
154400,18658381,Fox Searchlight Pictures
97020,239379423,Columbia Pictures
157353,103039258,Alcon Entertainment
193610,196781193,Twentieth Century Fox Film Corporation
82703,272912430,20th Century Fox
286532,0,Sycamore Pictures
189,39407616,Miramax Films
297270,0,Walt Disney Pictures
172385,500188435,Blue Sky Studios
100042,169837010,New Line Cinema
204922,15060457,StudioCanal
152760,154984035,Columbia Pictures
227306,163442937,Legendary Pictures
273895,66787908,Plan B Entertainment
265177,3494070,Téléfilm Canada
255343,0,Nexus Factory
175112,20300000,DisneyToon Studios
228970,52501541,Fox Searchlight Pictures
76649,117831631,Impact Pictures
239571,35926213,Relativity Media
196867,133821816,Columbia Pictures
207933,0,Icon Productions
228326,97437106,Twentieth Century Fox Film Corporation
239563,54837234,The Weinstein Company
136797,203277636,DreamWorks SKG
286554,18612,Demarest Films
262338,0,Maguire Entertainment
228194,88880821,Amblin Entertainment
170687,108255770,Laika Entertainment
87093,28883511,The Weinstein Company
241254,266586800,Grindstone Entertainment Group
246080,1171559,Cowboy Films
110416,857522,Irish Film Board
253980,0,Marvel Studios
242095,600896,Automatik Entertainment
157825,0,Why Not Productions
216282,160602194,New Line Cinema
289720,0,Media Max Productions
192102,0,Wonderland Sound and Vision
218836,151165787,Walt Disney Pictures
252178,1625847,Screen Yorkshire
144336,17508518,Open Road Films
188161,0,Media Rights Capital
255157,0,Code Entertainment
171372,645186,Element Pictures
244506,0,Gotham Group
136835,53830415,Sony Pictures
284293,41797583,Killer Films
256274,40100000,Legendary Pictures
87492,12096300,Likely Story
277547,0,Wonderland Sound and Vision
226857,34077920,Universal Pictures
157845,2295423,Porchlight Films
184098,70181428,Screen Gems
271674,9104716,Qwerty Films
192149,4507463,Timnick Films
187596,59209,Lakeshore Entertainment
181886,3396726,Rhombus Media
250546,255273813,New Line Cinema
328763,0,FatFree Films
261103,0,Zweites Deutsches Fernsehen (ZDF)
100241,71154592,Lakeshore Entertainment
225565,26049082,Treehouse Pictures
192132,0,Tribeca Film
200505,28831145,Summit Entertainment
254473,68896829,Canal+
242224,6676471,South Australian Film Corporation
226486,100525432,New Line Cinema
286519,0,Informant Media
164251,176391,2929 Productions
284689,1822250,BBC Films
250066,0,NGN Productions
169298,0,Giant Ape Media
244772,5284309,Duplass Brothers Productions
260339,0,BBC Films
283384,0,Darius Films
137321,30800231,Village Roadshow Pictures
234200,7523634,Calamity Films
244264,0,Anonymous Content
241848,2367161,HanWay Films
259611,0,MJW Films
238215,0,Next Wednesday Productions
188166,258384,Film Science
253344,0,Irish Dreamtime
256917,15520023,Hopscotch Features
171424,6833445,Worldview Entertainment
229297,32339326,Perdido Productions
192712,0,Distant Horizons
218778,100654149,Walt Disney Pictures
239678,41296320,Spring Creek Productions
264656,2429989,The Javelina Film Company
294652,0,Media House Capital
244509,427418,Backup Media
146015,200406,British Film Institute (BFI)
227783,0,Open Road Films
327833,0,SC Films International
151368,0,Wild Bunch
230179,7500000,Head Gear Films
242076,56574,Red Granite Pictures
209451,67347013,Warner Bros.
222899,49002684,"Screen Gems, Inc."
198185,38307627,Walt Disney Pictures
231576,5483299,Double Feature Films
244539,1430655,Paper Street Films
240745,0,Benaroya Pictures
287587,108808,Duplass Brothers Productions
285135,0,Cinetel Films
283350,37151,Wonderland Sound and Vision
97370,5380251,Scottish Screen
177494,3485127,Warner Bros.
254375,1124445,Wild Bunch
235260,67800064,Hearst Entertainment Productions
250657,0,Atlas Films
242643,4571025,Warner Bros. Animation
242042,15071,WhiteFlame Productions
217993,5155325,DC Comics
157834,770706,Le Pacte
253306,0,Semi-Professional
288281,0,Reno Productions
232679,30127963,Mandalay Pictures
260202,0,BBC Films
256835,0,Pixar Animation Studios
293299,0,Walt Disney Animation Studios
270302,2146041,HanWay Films
251852,0,New Artists Alliance
215211,0,Gaumont
177047,48390,Media House Capital
276844,0,Head Gear Films
226448,0,Night and Day Pictures
255268,0,Silver Nitrate Films
201086,0,Big Talk Productions
297596,0,TinRes Entertainment
193612,17834867,Hammer Film Productions
242310,0,Hannibal Pictures
