id,popularity,revenue,keywords
157825,1.315737,0,sex
216282,1.3155,160602194,tornado
289720,1.312103,0,emperor
192102,1.304588,0,paris
218836,1.240895,151165787,firemen
252178,1.220073,1625847,riot
144336,1.214094,17508518,drug cartel
188161,1.211609,0,gunslinger
255157,1.197444,0,suspense
171372,1.196549,645186,identity
244506,1.191423,0,guantanamo bay
136835,1.146492,53830415,sadistic
284293,1.142614,41797583,mother
256274,1.140302,40100000,paris
87492,1.136851,12096300,biography
277547,1.111485,0,screenwriter
226857,1.077877,34077920,woman director
157845,1.052381,2295423,dystopia
271674,1.039133,9104716,based on novel
192149,1.038367,4507463,sailboat
187596,1.027357,59209,journalist
181886,1.026924,3396726,doppelganger
250546,1.018115,255273813,prequel
328763,1.014673,0,sleep
100241,0.989916,71154592,soul
225565,0.988081,26049082,male friendship
192132,0.984445,0,high school
200505,0.98174,28831145,sport
254473,0.979655,68896829,martial arts
242224,0.967846,6676471,monster
286519,0.965197,0,talent
164251,0.965064,176391,corruption
284689,0.956582,1822250,world war i
250066,0.954807,0,brother brother relationship
169298,0.944954,0,corruption
244772,0.929125,5284309,new york
260339,0.928771,0,mi5
283384,0.926802,0,series of murders
137321,0.92537,30800231,based on novel
234200,0.920514,7523634,lgbt
244264,0.916578,0,friendship
241848,0.916435,2367161,bar
238215,0.897075,0,comedy
188166,0.896627,258384,revenge
253344,0.894732,0,english professor
256917,0.893121,15520023,istanbul
171424,0.890965,6833445,chile
229297,0.889247,32339326,provence
192712,0.887576,0,noir
218778,0.876514,100654149,based on novel
239678,0.876066,41296320,based on novel
264656,0.870104,2429989,dancing
294652,0.86636,0,prison
244509,0.863235,427418,self-defense
146015,0.861117,200406,paranoia
227783,0.833734,0,squirrel
327833,0.829686,0,martial arts
151368,0.81219,0,high technology
230179,0.805839,7500000,terrorist
242076,0.800344,56574,motel
209451,0.797723,67347013,biography
222899,0.796721,49002684,duringcreditsstinger
198185,0.786398,38307627,baseball
231576,0.778247,5483299,jew
244539,0.777096,1430655,semi autobiographical
287587,0.766932,108808,new york
285135,0.763771,0,zodiac
283350,0.760779,37151,wife husband relationship
97370,0.757089,5380251,male nudity
177494,0.751773,3485127,murder
254375,0.747577,1124445,trip
235260,0.740796,67800064,biography
250657,0.73558,0,junk food
242643,0.72975,4571025,dc comics
242042,0.728025,15071,naivety
217993,0.72546,5155325,dc comics
157834,0.722877,770706,virtual reality
253306,0.722465,0,haunted house
288281,0.716104,0,series of murders
232679,0.714661,30127963,american football
260202,0.708006,0,sequel
256835,0.707208,0,toy
293299,0.7057,0,cake
289891,0.704138,0,woman director
270302,0.699699,2146041,england
251852,0.691851,0,based on graphic novel
215211,0.688635,0,monaco
177047,0.688179,48390,infidelity
276844,0.684152,0,sexuality
226448,0.680611,0,telepathy
255268,0.678616,0,vietnam veteran
297596,0.671825,0,cia
193612,0.667732,17834867,male nudity
242310,0.662295,0,russian mafia
157849,0.660405,31554855,terror
284296,0.649574,25434291,comedian
239566,0.648465,31911598,biography
282813,0.646337,13865435,monster
184346,0.641676,0,possessed
